data.name,data.symbol,data.quote.USD.price,data.quote.USD.market_cap,data.circulating_supply
Bitcoin,BTC,"95372,96234",1891085711953,19828321
Ethereum,ETH,"2710,50078",326808688450,"120571331,6"
XRP,XRP,"2,48459858",143827960672,57887806032
Tether USDt,USDT,"0,9999145694",142400379714,142412546106
BNB,BNB,"644,0676163",91764531822,"142476549,8"
Solana,SOL,"160,4259986",78763783189,"490966451,2"
USDC,USDC,"0,9998827667",57176892580,57183596399
Dogecoin,DOGE,"0,2298756907",34061611255,148174046384
Cardano,ADA,"0,738394032",25997067114,35207580216
TRON,TRX,"0,2428044879",20901595712,86084058396
Chainlink,LINK,"16,77486701",10704042142,"638099970,5"
Sui,SUI,"3,275861968",10121454291,3089707195
Avalanche,AVAX,"23,92170236",9904075564,"414020516,3"
Stellar,XLM,"0,3193535791",9789487092,30654070388
Litecoin,LTC,"122,8876687",9285204024,"75558468,3"
Toncoin,TON,"3,71745916",9275164980,2495028077
UNUS SED LEO,LEO,"9,754175946",9013771379,"924093580,9"
Shiba Inu,SHIB,"0,00001491308924",8787593130,589253708047677
Hedera,HBAR,"0,2049434227",8587940275,41903956526
MANTRA,OM,"8,474256021",8250506783,973596592
Polkadot,DOT,"4,786804285",7427967913,1551759268
Hyperliquid,HYPE,"22,1374982",7392334483,333928180
Bitcoin Cash,BCH,"317,8284608",6303647798,"19833490,63"
Bitget Token,BGB,"4,931459034",5917750840,1200000000
Ethena USDe,USDe,"1,000023801",5889255245,5889115078
Dai,DAI,"0,9998750571",5364712336,5365382703
Uniswap,UNI,"8,700766063",5224966963,"600518037,7"
Monero,XMR,"233,9864732",4316288588,"18446744,07"
NEAR Protocol,NEAR,"3,305311993",3922751488,1186802183
Pepe,PEPE,"0,000009019463331",3794397124,420689899653544
Aave,AAVE,"238,6478869",3598692021,"15079505,07"
Ondo,ONDO,"1,088144615",3437565845,3159107529
Bittensor,TAO,"409,2547179",3436582258,8397172
Aptos,APT,"5,793821375",3407165697,"588068819,6"
Internet Computer,ICP,"6,867890811",3305431656,"481287741,3"
OFFICIAL TRUMP,TRUMP,"15,2600864",3052010830,"199999577,4"
Ethereum Classic,ETC,"19,91192104",3004187349,"150873807,8"
Mantle,MNT,"0,8910566787",2998133402,3364694383
OKB,OKB,"48,21898035",2893138821,60000000
Sonic (prev. FTM),S,"0,8643919256",2489448746,2880000000
VeChain,VET,"0,03065983663",2482988132,80985041177
Kaspa,KAS,"0,09536773961",2456241626,25755477023
POL (prev. MATIC),POL,"0,285886019",2454737259,8586419398
Cronos,CRO,"0,08817847225",2343039627,26571560696
Algorand,ALGO,"0,2501712021",2115377068,8455717724
Filecoin,FIL,"3,295182322",2101755659,637826819
Render,RENDER,"4,030876061",2086851409,"517716590,1"
GateToken,GT,"23,07215466",2047282024,"88733889,57"
Arbitrum,ARB,"0,457261788",2020782792,4419312625
First Digital USD,FDUSD,"0,9984646586",2006746800,2009832579
Celestia,TIA,"3,602771593",1939879952,"538441003,4"
Jupiter,JUP,"0,7309161155",1927746587,2637438889
Cosmos,ATOM,"4,686292671",1832032095,390934204
Optimism,OP,"1,117070833",1810443230,1620705846
Artificial Superintelligence Alliance,FET,"0,743864442",1777567762,2389639377
DeXe,DEXE,"18,46617859",1546234949,"83733347,5"
Injective,INJ,"15,22000144",1506337780,"98970935,41"
KuCoin Token,KCS,"11,98867323",1469894873,"122606967,9"
Lido DAO,LDO,"1,620570191",1454628172,"897602695,9"
Stacks,STX,"0,8762252133",1326873508,1514306468
XDC Network,XDC,"0,08452468991",1326226829,15690407508
Maker,MKR,"1540,690551",1312791655,"852080,033"
Ethena,ENA,"0,413000089",1291915903,3128125000
Theta Network,THETA,"1,273825746",1273825746,1000000000
The Graph,GRT,"0,132241456",1262711710,9548531509
Worldcoin,WLD,"1,188460266",1248112852,1050193168
Sei,SEI,"0,2678187979",1247366051,4657499999
Immutable,IMX,"0,6697770178",1184378451,1768317543
Bonk,BONK,"0,00001504828152",1164509803,77384902842364
Flare,FLR,"0,01942847739",1147954536,59086181244
Movement,MOVE,"0,4675113726",1122027294,2400000000
Quant,QNT,"92,58221477",1117720822,12072738
JasmyCoin,JASMY,"0,02034643408",1006029426,49444999677
Story,IP,"3,938607392","984651848,1",250000000
EOS,EOS,"0,6196263963",959507933,1548526562
Ethereum Name Service,ENS,"26,53161144","944128609,1","35585045,84"
Raydium,RAY,"3,220135698","936569917,7",290847966
FLOKI,FLOKI,"0,00009089076809","874092275,1",9616953333044
Tezos,XTZ,"0,8285567296","854714592,1",1031570394
Pyth Network,PYTH,"0,2335171406","846496824,1",3624987964
Nexo,NEXO,"1,301860726","841191891,8","646145839,6"
The Sandbox,SAND,"0,3345914436","824552808,4",2464357126
BitTorrent [New],BTT,"0,0000008269932098","815465869,6",986061142857000
Jito,JTO,"2,661592331","792162870,8","297627424,6"
Flow,FLOW,"0,5050820968","790544800,1",1565180800
Kaia,KAIA,"0,1327366028","790112525,3",5952484158
IOTA,IOTA,"0,2159920773","788486665,9",3650535129
Gala,GALA,"0,02124437543","785725419,1",36985103266
PayPal USD,PYUSD,"1,000021318","775085477,8","775068954,7"
Virtuals Protocol,VIRTUAL,"1,170751391","759307097,3","648563907,8"
Tether Gold,XAUt,"2936,739683","723976813,6",246524
Bitcoin SV,BSV,"36,48424044","723456264,8","19829281,25"
Neo,NEO,"10,21144333","720303275,2",70538831
Ronin,RON,"1,149032811","711699087,2",619389699
Berachain,BERA,"6,614788249","710957440,9",107480000
PancakeSwap,CAKE,"2,412037783",701218008,"290716013,2"
SPX6900,SPX,"0,7125721838","663399779,3","930993090,1"
Official Melania Meme,MELANIA,"1,231228797","661555850,4","537313496,8"
Helium,HNT,"3,620574335","642270301,3","177394590,5"
dogwifhat,WIF,"0,635739257","635002615,2","998841283,2"